id;sk
fancyweb;FancyWeb
title;Tri kvety

cookieMessage;"Táto stránka používa súbory cookie. Kliknutím na tlačidlo "Povoliť" súhlasíte s ich používaním na uloženie zvoleného jazyka a na analýzu návštevnosti stránky.";"This website uses cookies. By clicking the "Allow" button, you agree to their use to save the selected language and to analyze site traffic.";
cookieAllow;Povoliť;Allow;
cookieDeny;Odmietnuť;Deny;
cookiePolicy;Zásady používania súborov cookie;Cookie Policy;

navigation.;My
navigation.brunch;Brunch
navigation.obed;Obed
navigation.vecera;Večera
navigation.drinky;Drinky
navigation.kontakt;Kontakt

about-us.text1;Zóna slobody, oddychu a zábavy.
about-us.text2;Výberová gastronómia zo sezónnych a domácich surovín.
about-us.text3;High-end cocktaily & punkové experimenty.
about-us.text4;Brunch s rodinou, obed s partnerom a večera s kamošmi.
about-us.text5;To sme my, trikvety, v srdci Nitry.

establishment.text1;Podnik sme založili v r. 2023 a prinášame do Nitry originálny priestor založený na princíme <i>dňa</i> a <i>noci</i>.
establishment.text2;Milujeme jedlo, drinky a slobodu.

breakfast.text1;Raňajky. Sladké aj slané.
breakfast.text2;Z lokálnych surovín.

lunchMenu.text1;Obedové menučka. Skladané podľa sezónnosti.
lunchMenu.text2;Polievka & mäsité aj vegetariánske.

alacarte.text1;Večerná Á la carte kombinovaná s cocktailami a ambient atmoškou.

events.text1;Organizujeme súkromné oslavy a eventy.
events.text2;Prostredníctvom našich akcií podporujeme umelcov, hudobníkov a remeselníkov.
events.text3;Ak sa chceš zviditeľniť, urobiť si u nás oslavu alebo urobiť u nás workshop, určite nás kontaktuj.

lunch.time;od 11:00 - 15:30
lunch.text1;Každý týždeň nové menu podávané podľa sezónnosti.
lunch.dash;-
lunch.text2;Polievka. Mäso. Vegetariánske.
lunch.text3;Čerstvé. Domáce. Naše.
lunch.menu;Aktuálna ponuka

brunch.time;od 8:00 - 10:30
brunch.menu;Aktuálna ponuka

dinner.time;od 17:00 - 21:30
dinner.text1;Večerné Á la carte zostavené naším Chefom, kombinácia chutí 3 jedál doplňujúca drinkami.
dinner.dash;-
dinner.text2;Polievka. Hlavný chod. Dezert.
dinner.menu;Aktuálna ponuka

drinks.time;od 17:00 - 21:30
drinks.text1;High fashion drinky, klasiky, punkové experimenty, ale aj sezónne úlety.
drinks.dash;-
drinks.text2;Príď si k nám posedieť ráno s rodinkou, poobede s priateľom alebo večer s partiou.
drinks.text3;Vyber si atmosféru, akú ty chceš.
drinks.menu;Aktuálna ponuka

contact.form.title;Rezervujte si stôl u nás
contact.form.name;Meno a priezvisko
contact.form.email;Email
contact.form.phone;Mobilné číslo
contact.form.people;Počet ľudí
contact.form.time;Čas
contact.form.message;Poznámky (intolerancie, požiadavky)
contact.form.submitBtn;Odoslať
contact.form.required;Povinné pole
contact.form.pattern;Nesprávny tvar emailu
contact.form.successMsg;Vaše informácie k rezervácií boli úspešne odoslané!
contact.form.failMsg;Odoslanie správy zlyhalo, kontaktujte nás telefonicky alebo emailom.

footer.phone;0915 383 919
footer.email;info@trikvety.sk
footer.address;Štefánikova trieda 72/46, Nitra
footer.mondayThursday;Pondelok-Štvrtok: 8-22
footer.friday;Piatok: 8-24
footer.saturday;Sobota: 8-24
footer.sunday;Nedeľa: 9-18
